Year,Office,District,Candidate|Party,Votes,Pct
2024,U.S. President & Vice President,Hennepin County (all),Kamala D. Harris and Tim Walz|DFL,502710,69.8
2024,U.S. President & Vice President,Hennepin County (all),Donald J. Trump and JD Vance|R,197244,27.39
2024,U.S. President & Vice President,Hennepin County (all),Jill Stein and Samson Kpadenou|G,5522,0.77
2024,U.S. President & Vice President,Hennepin County (all),Robert F. Kennedy Jr. and Nicole Shanahan|WTP,4209,0.58
2024,U.S. President & Vice President,Hennepin County (all),Chase Oliver and Mike ter Maat|LIB,3585,0.5
2024,U.S. President & Vice President,Hennepin County (all),WRITE-IN|WI,3582,0.5
2024,U.S. President & Vice President,Hennepin County (all),Claudia De la Cruz and Karina Garcia|SLP,1370,0.19
2024,U.S. President & Vice President,Hennepin County (all),Cornel West and Melina Abdullah|JFA,1234,0.17
2024,U.S. President & Vice President,Hennepin County (all),Shiva Ayyadurai and Crystal Ellis|IND,574,0.08
2024,U.S. President & Vice President,Hennepin County (all),Rachele Fruit and Dennis Richter|SWP,143,0.02
2024,U.S. President & Vice President,Hennepin County Commission District 2,Kamala D. Harris and Tim Walz|DFL,71257,75.74
2024,U.S. President & Vice President,Hennepin County Commission District 2,Donald J. Trump and JD Vance|R,20108,21.37
2024,U.S. President & Vice President,Hennepin County Commission District 2,Jill Stein and Samson Kpadenou|G,733,0.78
2024,U.S. President & Vice President,Hennepin County Commission District 2,Robert F. Kennedy Jr. and Nicole Shanahan|WTP,518,0.55
2024,U.S. President & Vice President,Hennepin County Commission District 2,Chase Oliver and Mike ter Maat|LIB,460,0.49
2024,U.S. President & Vice President,Hennepin County Commission District 2,WRITE-IN|WI,427,0.45
2024,U.S. President & Vice President,Hennepin County Commission District 2,Cornel West and Melina Abdullah|JFA,243,0.26
2024,U.S. President & Vice President,Hennepin County Commission District 2,Claudia De la Cruz and Karina Garcia|SLP,231,0.25
2024,U.S. President & Vice President,Hennepin County Commission District 2,Shiva Ayyadurai and Crystal Ellis|IND,70,0.07
2024,U.S. President & Vice President,Hennepin County Commission District 2,Rachele Fruit and Dennis Richter|SWP,29,0.03
2024,U.S. President & Vice President,Hennepin County Commission District 3,Kamala D. Harris and Tim Walz|DFL,92727,83.97
2024,U.S. President & Vice President,Hennepin County Commission District 3,Donald J. Trump and JD Vance|R,14517,13.15
2024,U.S. President & Vice President,Hennepin County Commission District 3,Jill Stein and Samson Kpadenou|G,968,0.88
2024,U.S. President & Vice President,Hennepin County Commission District 3,Robert F. Kennedy Jr. and Nicole Shanahan|WTP,508,0.46
2024,U.S. President & Vice President,Hennepin County Commission District 3,WRITE-IN|WI,490,0.44
2024,U.S. President & Vice President,Hennepin County Commission District 3,Chase Oliver and Mike ter Maat|LIB,447,0.4
2024,U.S. President & Vice President,Hennepin County Commission District 3,Claudia De la Cruz and Karina Garcia|SLP,442,0.4
2024,U.S. President & Vice President,Hennepin County Commission District 3,Cornel West and Melina Abdullah|JFA,240,0.22
2024,U.S. President & Vice President,Hennepin County Commission District 3,Shiva Ayyadurai and Crystal Ellis|IND,66,0.06
2024,U.S. President & Vice President,Hennepin County Commission District 3,Rachele Fruit and Dennis Richter|SWP,27,0.02
2024,U.S. President & Vice President,Hennepin County Commission District 4,Kamala D. Harris and Tim Walz|DFL,72184,84.56
2024,U.S. President & Vice President,Hennepin County Commission District 4,Donald J. Trump and JD Vance|R,10225,11.98
2024,U.S. President & Vice President,Hennepin County Commission District 4,Jill Stein and Samson Kpadenou|G,1097,1.29
2024,U.S. President & Vice President,Hennepin County Commission District 4,Claudia De la Cruz and Karina Garcia|SLP,380,0.45
2024,U.S. President & Vice President,Hennepin County Commission District 4,Robert F. Kennedy Jr. and Nicole Shanahan|WTP,376,0.44
2024,U.S. President & Vice President,Hennepin County Commission District 4,WRITE-IN|WI,375,0.44
2024,U.S. President & Vice President,Hennepin County Commission District 4,Cornel West and Melina Abdullah|JFA,335,0.39
2024,U.S. President & Vice President,Hennepin County Commission District 4,Chase Oliver and Mike ter Maat|LIB,309,0.36
2024,U.S. President & Vice President,Hennepin County Commission District 4,Shiva Ayyadurai and Crystal Ellis|IND,47,0.06
2024,U.S. President & Vice President,Hennepin County Commission District 4,Rachele Fruit and Dennis Richter|SWP,33,0.04
