Year,Office,District,TopCandidate|Party,TopVotes,TopPct,RunnerUpCandidate|Party,RunnerUpVotes,RunnerUpPct,MarginVotes,MarginPct,TotalVotes
2022,Attorney General,Hennepin County (all),Keith Ellison|DFL,388811,68.09,Jim Schultz|R,181512,31.79,207299,36.3,571006
2022,Attorney General,Hennepin County Commission District 2,Keith Ellison|DFL,56032,74.96,Jim Schultz|R,18595,24.88,37437,50.08,74750
2022,Attorney General,Hennepin County Commission District 3,Keith Ellison|DFL,74579,83.54,Jim Schultz|R,14578,16.33,60001,67.21,89278
2022,Attorney General,Hennepin County Commission District 4,Keith Ellison|DFL,61357,87.47,Jim Schultz|R,8692,12.39,52665,75.08,70148
2022,Attorney General,Ramsey County Commission District 5,Keith Ellison|DFL,26023,79.95,Jim Schultz|R,6470,19.88,19553,60.07,32550
2022,Attorney General,Ramsey County Commission District 6,Keith Ellison|DFL,12553,70.32,Jim Schultz|R,5269,29.52,7284,40.8,17851
2022,Attorney General,State House 43A (Hennepin),Keith Ellison|DFL,11107,65.64,Jim Schultz|R,5789,34.21,5318,31.43,16922
2022,Attorney General,State House 43B (Hennepin),Keith Ellison|DFL,15673,72.81,Jim Schultz|R,5831,27.09,9842,45.72,21526
2022,Attorney General,State Senator District 46 (Hennepin),Keith Ellison|DFL,28876,70.88,Jim Schultz|R,11814,29.0,17062,41.88,40741
2022,County Attorney,Hennepin County (all),Mary Moriarty|NP,254418,57.59,Martha Holton Dimick|NP,184739,41.82,69679,15.77,441746
2022,County Attorney,Hennepin County Commission District 2,Mary Moriarty|NP,34535,59.17,Martha Holton Dimick|NP,23440,40.16,11095,19.01,58364
2022,County Attorney,Hennepin County Commission District 3,Mary Moriarty|NP,42260,59.83,Martha Holton Dimick|NP,28044,39.71,14216,20.13,70629
2022,County Attorney,Hennepin County Commission District 4,Mary Moriarty|NP,38619,68.76,Martha Holton Dimick|NP,17247,30.71,21372,38.05,56165
2022,County Attorney,Ramsey County Commission District 5,John J. Choi|NP,20568,97.33,WRITE-IN|WI,565,2.67,20003,94.65,21133
2022,County Attorney,Ramsey County Commission District 6,John J. Choi|NP,11474,96.72,WRITE-IN|WI,389,3.28,11085,93.44,11863
2022,County Attorney,State House 43A (Hennepin),Mary Moriarty|NP,7542,58.8,Martha Holton Dimick|NP,5184,40.41,2358,18.38,12827
2022,County Attorney,State House 43B (Hennepin),Mary Moriarty|NP,9340,55.54,Martha Holton Dimick|NP,7375,43.85,1965,11.68,16818
2022,County Attorney,State Senator District 46 (Hennepin),Mary Moriarty|NP,16494,55.49,Martha Holton Dimick|NP,13042,43.88,3452,11.61,29722
2022,County Commissioner District 2,Hennepin County (all),Irene Fernando|NP,44725,98.46,WRITE-IN|WI,699,1.54,44026,96.92,45424
2022,County Commissioner District 2,Hennepin County Commission District 2,Irene Fernando|NP,44725,98.46,WRITE-IN|WI,699,1.54,44026,96.92,45424
2022,County Commissioner District 2,State House 43B (Hennepin),Irene Fernando|NP,8502,98.81,WRITE-IN|WI,102,1.19,8400,97.63,8604
2022,County Commissioner District 3,Hennepin County (all),Marion Greene|NP,43175,69.7,Ashley Boldin|NP,18338,29.6,24837,40.09,61946
2022,County Commissioner District 3,Hennepin County Commission District 3,Marion Greene|NP,43175,69.7,Ashley Boldin|NP,18338,29.6,24837,40.09,61946
2022,County Commissioner District 3,State Senator District 46 (Hennepin),Marion Greene|NP,9764,61.87,Ashley Boldin|NP,5905,37.42,3859,24.45,15782
2022,County Commissioner District 4,Hennepin County (all),Angela Conley|NP,42287,98.54,WRITE-IN|WI,626,1.46,41661,97.08,42913
2022,County Commissioner District 4,Hennepin County Commission District 4,Angela Conley|NP,42287,98.54,WRITE-IN|WI,626,1.46,41661,97.08,42913
2022,County Commissioner District 5,Ramsey County Commission District 5,Rafael E. Ortega|NP,18497,70.82,Bill Hosko|NP,7455,28.54,11042,42.27,26120
2022,County Commissioner District 6,Ramsey County Commission District 6,Mai Chong Xiong|NP,7993,50.17,Ying Vang-Pao|NP,7780,48.83,213,1.34,15933
2022,Governor & Lt Governor,Hennepin County (all),Tim Walz and Peggy Flanagan|DFL,405013,70.37,Scott Jensen and Matt Birk|R,154393,26.83,250620,43.55,575529
2022,Governor & Lt Governor,Hennepin County Commission District 2,Tim Walz and Peggy Flanagan|DFL,57375,76.17,Scott Jensen and Matt Birk|R,15547,20.64,41828,55.53,75328
2022,Governor & Lt Governor,Hennepin County Commission District 3,Tim Walz and Peggy Flanagan|DFL,76223,84.8,Scott Jensen and Matt Birk|R,11192,12.45,65031,72.35,89887
2022,Governor & Lt Governor,Hennepin County Commission District 4,Tim Walz and Peggy Flanagan|DFL,61204,86.76,Scott Jensen and Matt Birk|R,6890,9.77,54314,76.99,70545
2022,Governor & Lt Governor,Ramsey County Commission District 5,Tim Walz and Peggy Flanagan|DFL,26612,80.76,Scott Jensen and Matt Birk|R,5257,15.95,21355,64.81,32950
2022,Governor & Lt Governor,Ramsey County Commission District 6,Tim Walz and Peggy Flanagan|DFL,12647,69.42,Scott Jensen and Matt Birk|R,4452,24.44,8195,44.98,18219
2022,Governor & Lt Governor,State House 43A (Hennepin),Tim Walz and Peggy Flanagan|DFL,11570,67.69,Scott Jensen and Matt Birk|R,4955,28.99,6615,38.7,17092
2022,Governor & Lt Governor,State House 43B (Hennepin),Tim Walz and Peggy Flanagan|DFL,16314,75.14,Scott Jensen and Matt Birk|R,4849,22.33,11465,52.8,21712
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),Tim Walz and Peggy Flanagan|DFL,30302,73.66,Scott Jensen and Matt Birk|R,9863,23.98,20439,49.69,41137
2022,State Representative District 43A,Hennepin County (all),Cedrick R. Frazier|DFL,12266,96.64,WRITE-IN|WI,427,3.36,11839,93.27,12693
2022,State Representative District 43A,State House 43A (Hennepin),Cedrick R. Frazier|DFL,12266,96.64,WRITE-IN|WI,427,3.36,11839,93.27,12693
2022,State Representative District 43B,Hennepin County (all),Mike Freiberg|DFL,17141,97.53,WRITE-IN|WI,434,2.47,16707,95.06,17575
2022,State Representative District 43B,Hennepin County Commission District 2,Mike Freiberg|DFL,11182,97.74,WRITE-IN|WI,258,2.26,10924,95.49,11440
2022,State Representative District 43B,State House 43B (Hennepin),Mike Freiberg|DFL,17141,97.53,WRITE-IN|WI,434,2.47,16707,95.06,17575
2022,State Senator District 46,Hennepin County (all),Ron Latz|DFL,31027,97.26,WRITE-IN|WI,874,2.74,30153,94.52,31901
2022,State Senator District 46,Hennepin County Commission District 3,Ron Latz|DFL,19600,97.76,WRITE-IN|WI,450,2.24,19150,95.51,20050
2022,State Senator District 46,State Senator District 46 (Hennepin),Ron Latz|DFL,31027,97.26,WRITE-IN|WI,874,2.74,30153,94.52,31901
2024,U.S. President & Vice President,Hennepin County (all),Kamala D. Harris and Tim Walz|DFL,502710,69.8,Donald J. Trump and JD Vance|R,197244,27.39,305466,42.42,720173
2024,U.S. President & Vice President,Hennepin County Commission District 2,Kamala D. Harris and Tim Walz|DFL,71257,75.74,Donald J. Trump and JD Vance|R,20108,21.37,51149,54.37,94076
2024,U.S. President & Vice President,Hennepin County Commission District 3,Kamala D. Harris and Tim Walz|DFL,92727,83.97,Donald J. Trump and JD Vance|R,14517,13.15,78210,70.82,110432
2024,U.S. President & Vice President,Hennepin County Commission District 4,Kamala D. Harris and Tim Walz|DFL,72184,84.56,Donald J. Trump and JD Vance|R,10225,11.98,61959,72.58,85361
2024,U.S. President & Vice President,Ramsey County Commission District 5,Kamala D. Harris and Tim Walz|DFL,33250,79.44,Donald J. Trump and JD Vance|R,7437,17.77,25813,61.67,41856
2024,U.S. President & Vice President,Ramsey County Commission District 6,Kamala D. Harris and Tim Walz|DFL,18084,66.67,Donald J. Trump and JD Vance|R,8365,30.84,9719,35.83,27126
