Year,Office,District,Candidate|Party,Votes,Pct,TotalBallots
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County (all),EXHAUSTED,8307,5.62,147702
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County (all),Jacob Frey|N P,74037,50.13,147702
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County (all),Omar Fateh|D,65358,44.25,147702
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 2,EXHAUSTED,1925,6.51,29572
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 2,Jacob Frey|N P,14770,49.95,29572
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 2,Omar Fateh|D,12877,43.54,29572
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 3,EXHAUSTED,2708,4.87,55624
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 3,Jacob Frey|N P,31523,56.67,55624
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 3,Omar Fateh|D,21393,38.46,55624
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 4,EXHAUSTED,3490,5.88,59318
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 4,Jacob Frey|N P,25537,43.05,59318
2025,"Mayor Final Round (Frey vs Fateh, RCV Reallocated)",Hennepin County Commission District 4,Omar Fateh|D,30291,51.07,59318
