Ward,Candidate|Party,Votes,Pct,WardTotal
1,Jacob Frey|NP,5306,37.39,14190
1,Omar Fateh|NP,4836,34.08,14190
1,DeWayne Davis|NP,2210,15.57,14190
1,Jazz Hampton|NP,1423,10.03,14190
1,Laverne Turner|NP,91,0.64,14190
1,Brenda Short|NP,80,0.56,14190
1,Charlie McCloud|NP,69,0.49,14190
1,Kevin Dwire|NP,45,0.32,14190
1,Andrea Revel|NP,34,0.24,14190
1,Alejandro Richardson|NP,22,0.16,14190
1,Kevin Ward|NP,21,0.15,14190
1,Jeffrey Alan Wagner|NP,14,0.1,14190
1,WRITE-IN|WI,14,0.1,14190
1,Adam Terzich|NP,10,0.07,14190
1,Xavier Pauke|NP,9,0.06,14190
1,Troy A. Peterson|NP,6,0.04,14190
2,Omar Fateh|NP,3563,51.42,6929
2,Jacob Frey|NP,1895,27.35,6929
2,DeWayne Davis|NP,924,13.34,6929
2,Jazz Hampton|NP,414,5.97,6929
2,Brenda Short|NP,34,0.49,6929
2,Charlie McCloud|NP,21,0.3,6929
2,Laverne Turner|NP,16,0.23,6929
2,Andrea Revel|NP,12,0.17,6929
2,Kevin Dwire|NP,10,0.14,6929
2,Xavier Pauke|NP,9,0.13,6929
2,Jeffrey Alan Wagner|NP,7,0.1,6929
2,Kevin Ward|NP,7,0.1,6929
2,WRITE-IN|WI,7,0.1,6929
2,Alejandro Richardson|NP,6,0.09,6929
2,Troy A. Peterson|NP,3,0.04,6929
2,Adam Terzich|NP,1,0.01,6929
3,Jacob Frey|NP,6804,49.65,13703
3,Omar Fateh|NP,3851,28.1,13703
3,DeWayne Davis|NP,1515,11.06,13703
3,Jazz Hampton|NP,1303,9.51,13703
3,Laverne Turner|NP,56,0.41,13703
3,Brenda Short|NP,48,0.35,13703
3,Andrea Revel|NP,31,0.23,13703
3,Charlie McCloud|NP,25,0.18,13703
3,Kevin Dwire|NP,21,0.15,13703
3,Alejandro Richardson|NP,13,0.09,13703
3,Kevin Ward|NP,11,0.08,13703
3,WRITE-IN|WI,8,0.06,13703
3,Xavier Pauke|NP,6,0.04,13703
3,Troy A. Peterson|NP,6,0.04,13703
3,Jeffrey Alan Wagner|NP,4,0.03,13703
3,Adam Terzich|NP,1,0.01,13703
4,Jacob Frey|NP,3131,45.45,6889
4,Omar Fateh|NP,1878,27.26,6889
4,DeWayne Davis|NP,877,12.73,6889
4,Jazz Hampton|NP,609,8.84,6889
4,Laverne Turner|NP,122,1.77,6889
4,Brenda Short|NP,73,1.06,6889
4,Andrea Revel|NP,44,0.64,6889
4,Charlie McCloud|NP,40,0.58,6889
4,Kevin Dwire|NP,34,0.49,6889
4,Alejandro Richardson|NP,26,0.38,6889
4,Kevin Ward|NP,21,0.3,6889
4,Jeffrey Alan Wagner|NP,12,0.17,6889
4,Xavier Pauke|NP,9,0.13,6889
4,WRITE-IN|WI,8,0.12,6889
4,Troy A. Peterson|NP,4,0.06,6889
4,Adam Terzich|NP,1,0.01,6889
