OfficeName,ObservedYears,CycleEstimate,PredictionReason
Associate Justice - Supreme Court 3,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Associate Justice - Supreme Court 6,2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
Attorney General,2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
Board of Public Works (Blue Earth) (Elect 2),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Bowlus),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Boy River),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Clontarf),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Correll),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
City Clerk (Delhi),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Elmdale),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Farwell),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Felton),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Floodwood),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Genola),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Georgetown),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Graceville),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Greenwald),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Halma),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Hazel Run),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Johnson),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Kinney),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Lastrup),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Leonidas),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Nassau),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Nimrod),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Randolph),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Rutledge),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (St. Leo),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Taconite),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Trosky),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Vining),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Warba),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Wendell),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (West Union),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk (Westport),2020|2022|2024,2-year,"Observed 2-year cadence across 2020, 2022, 2024."
City Clerk (Zemple),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Cobden),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Forada),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Garrison),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Holloway),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Richville),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Sedan),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Viking),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
City Clerk - Treasurer (Winton),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Barnesville),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Baudette),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Brooklyn Center),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 1 (Cloquet),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Duluth),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Edina),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Fairmont),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 1 (Fergus Falls),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Graceville),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Grand Rapids),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Hermantown),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Kasson),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Kelliher),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Kinney),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Leonidas),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Litchfield),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Maple Grove),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Moorhead),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Oakdale),2022|2024,2-year,"Observed 2-year cadence across 2022, 2024."
CITY QUESTION 1 (Russell),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
CITY QUESTION 1 (Spring Grove),2022,heuristic,"Only observed in the 2022 midterm, so assume the 4-year midterm cycle."
